iter	Passed	Remaining
1321	113498	58208
1322	113580	58120
1323	113664	58033
1324	113748	57947
1325	113842	57865
1326	113922	57776
1327	114005	57689
1328	114089	57602
1329	114169	57513
1330	114251	57426
1331	114331	57337
1332	114414	57250
1333	114496	57162
1334	114577	57074
1335	114658	56985
1336	114753	56904
1337	114837	56817
1338	114919	56730
1339	115003	56643
1340	115089	56557
1341	115169	56469
1342	115255	56383
1343	115338	56296
1344	115420	56208
1345	115504	56121
1346	115586	56033
1347	115667	55946
1348	115775	55871
1349	115857	55783
1350	115940	55696
1351	116027	55610
1352	116110	55523
1353	116191	55435
1354	116275	55348
1355	116355	55260
1356	116437	55172
1357	116518	55084
1358	116601	54997
1359	116683	54909
1360	116765	54822
1361	116848	54735
1362	116929	54647
1363	117011	54559
1364	117097	54473
1365	117180	54386
1366	117260	54298
1367	117342	54210
1368	117424	54123
1369	117507	54036
1370	117588	53948
1371	117669	53860
1372	117750	53772
1373	117831	53684
1374	117912	53596
1375	117995	53509
1376	118078	53422
1377	118162	53336
1378	118244	53248
1379	118328	53162
1380	118408	53073
1381	118490	52986
1382	118574	52899
1383	118656	52812
1384	118738	52724
1385	118819	52636
1386	118901	52549
1387	118982	52462
1388	119067	52376
1389	119152	52289
1390	119233	52202
1391	119319	52116
1392	119404	52030
1393	119490	51945
1394	119577	51859
1395	119662	51773
1396	119746	51687
1397	119826	51599
1398	119909	51512
1399	119994	51426
1400	120080	51340
1401	120164	51254
1402	120246	51167
1403	120339	51084
1404	120420	50996
1405	120502	50909
1406	120594	50826
1407	120674	50738
1408	120756	50650
1409	120838	50563
1410	120918	50475
1411	120998	50387
1412	121082	50301
1413	121163	50213
1414	121245	50126
1415	121326	50038
1416	121410	49952
1417	121492	49865
1418	121573	49777
1419	121657	49690
1420	121738	49603
1421	121819	49515
1422	121900	49428
1423	121981	49340
1424	122062	49253
1425	122146	49167
1426	122228	49079
1427	122307	48991
1428	122386	48903
1429	122467	48815
1430	122547	48727
1431	122632	48641
1432	122715	48555
1433	122796	48467
1434	122876	48380
1435	122956	48292
1436	123037	48204
1437	123120	48118
1438	123201	48030
1439	123282	47943
1440	123363	47855
1441	123443	47768
1442	123524	47680
1443	123604	47593
1444	123686	47505
1445	123765	47417
1446	123876	47341
1447	123956	47254
1448	124037	47166
1449	124120	47080
1450	124202	46993
1451	124284	46906
1452	124367	46819
1453	124448	46732
1454	124531	46645
1455	124612	46558
1456	124694	46471
1457	124775	46384
1458	124857	46297
1459	124937	46209
1460	125017	46122
1461	125101	46035
1462	125183	45948
1463	125266	45862
1464	125345	45774
1465	125427	45687
1466	125509	45600
1467	125591	45514
1468	125675	45428
1469	125786	45351
1470	125866	45263
1471	125947	45176
1472	126030	45090
1473	126111	45003
1474	126191	44915
1475	126274	44829
1476	126352	44741
